,Date,Season,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen
2589,2009-07-18,2009,Columbus Crew,Real Salt Lake,3-1,3,1,East,West,4,regular,,,,,
2590,2009-07-18,2009,Chicago Fire,San Jose Earthquakes,2-0,2,0,East,West,2,regular,,,,,
2591,2009-07-19,2009,New England Revolution,CD Chivas USA,2-0,2,0,East,West,2,regular,,,,,
2592,2009-07-25,2009,Real Salt Lake,FC Dallas,4-2,4,2,West,West,6,regular,,,,,
2593,2009-07-25,2009,Seattle Sounders,Chicago Fire,0-0,0,0,West,East,0,regular,,,,,
2594,2009-07-25,2009,Columbus Crew,Toronto FC,3-2,3,2,East,East,5,regular,,,,,
2595,2009-07-25,2009,Houston Dynamo,New England Revolution,0-1,0,1,West,East,1,regular,,,,,
2596,2009-07-25,2009,Sporting Kansas City,LA Galaxy,1-1,1,1,East,West,2,regular,,,,,
2597,2009-07-25,2009,Colorado Rapids,New York Red Bulls,4-0,4,0,West,East,4,regular,,,,,
2598,2009-07-26,2009,San Jose Earthquakes,DC United,2-2,2,2,West,East,4,regular,,,,,
2599,2009-08-01,2009,New England Revolution,Toronto FC,1-1,1,1,East,East,2,regular,,,,,
2600,2009-08-01,2009,Houston Dynamo,DC United,4-3,4,3,West,East,7,regular,,,,,
2601,2009-08-01,2009,FC Dallas,Sporting Kansas City,6-0,6,0,West,East,6,regular,,,,,
2602,2009-08-01,2009,Chicago Fire,Real Salt Lake,1-0,1,0,East,West,1,regular,,,,,
2603,2009-08-01,2009,Colorado Rapids,Columbus Crew,0-1,0,1,West,East,1,regular,,,,,
2604,2009-08-02,2009,San Jose Earthquakes,Seattle Sounders,4-0,4,0,West,West,4,regular,,,,,
2605,2009-08-06,2009,FC Dallas,Houston Dynamo,1-0,1,0,West,West,1,regular,,,,,
2606,2009-08-08,2009,New England Revolution,LA Galaxy,1-2,1,2,East,West,3,regular,,,,,
2607,2009-08-08,2009,San Jose Earthquakes,Columbus Crew,0-3,0,3,West,East,3,regular,,,,,
2608,2009-08-08,2009,Real Salt Lake,Seattle Sounders,1-0,1,0,West,West,1,regular,,,,,
2609,2009-08-08,2009,Colorado Rapids,CD Chivas USA,4-0,4,0,West,West,4,regular,,,,,
2610,2009-08-09,2009,Houston Dynamo,Chicago Fire,3-2,3,2,West,East,5,regular,,,,,
2611,2009-08-15,2009,Toronto FC,DC United,2-0,2,0,East,East,2,regular,,,,,
2612,2009-08-15,2009,New York Red Bulls,CD Chivas USA,0-2,0,2,East,West,2,regular,,,,,
2613,2009-08-15,2009,Columbus Crew,FC Dallas,2-0,2,0,East,West,2,regular,,,,,
2614,2009-08-15,2009,Real Salt Lake,Houston Dynamo,0-0,0,0,West,West,0,regular,,,,,
2615,2009-08-16,2009,LA Galaxy,Seattle Sounders,0-2,0,2,West,West,2,regular,,,,,
2616,2009-08-16,2009,Sporting Kansas City,Chicago Fire,0-2,0,2,East,East,2,regular,,,,,
2617,2009-08-19,2009,Chicago Fire,LA Galaxy,0-2,0,2,East,West,2,regular,,,,,
2618,2009-08-21,2009,Seattle Sounders,New England Revolution,0-1,0,1,West,East,1,regular,,,,,
2619,2009-08-22,2009,DC United,LA Galaxy,0-0,0,0,East,West,0,regular,,,,,
2620,2009-08-23,2009,San Jose Earthquakes,Sporting Kansas City,1-0,1,0,West,East,1,regular,,,,,
2621,2009-08-23,2009,CD Chivas USA,Toronto FC,2-0,2,0,West,East,2,regular,,,,,
2622,2009-08-23,2009,New York Red Bulls,FC Dallas,3-2,3,2,East,West,5,regular,,,,,
2623,2009-08-23,2009,Chicago Fire,Colorado Rapids,3-2,3,2,East,West,5,regular,,,,,
2624,2009-08-23,2009,New England Revolution,Real Salt Lake,3-1,3,1,East,West,4,regular,,,,,
