,Date,Season,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen
1190,2002-05-25,2002,Columbus Crew,FC Dallas,1-1,1,1,East,West,2,regular,,,,,
1191,2002-05-25,2002,New England Revolution,LA Galaxy,3-2,3,2,East,West,5,regular,,,,,
1192,2002-05-25,2002,New York Red Bulls,Sporting Kansas City,1-1,1,1,East,West,2,regular,,,,,
1193,2002-05-26,2002,Chicago Fire,San Jose Earthquakes,1-1,1,1,East,West,2,regular,,,,,
1194,2002-06-01,2002,Colorado Rapids,LA Galaxy,3-2,3,2,West,West,5,regular,,,,,
1195,2002-06-01,2002,Sporting Kansas City,FC Dallas,2-2,2,2,West,West,4,regular,,,,,
1196,2002-06-01,2002,New England Revolution,San Jose Earthquakes,0-2,0,2,East,West,2,regular,,,,,
1197,2002-06-02,2002,Chicago Fire,Columbus Crew,5-4,5,4,East,East,9,regular,,,,,
1198,2002-06-08,2002,DC United,New England Revolution,3-2,3,2,East,East,5,regular,,,,,
1199,2002-06-08,2002,FC Dallas,Colorado Rapids,4-1,4,1,West,West,5,regular,,,,,
1200,2002-06-08,2002,San Jose Earthquakes,Sporting Kansas City,3-0,3,0,West,West,3,regular,,,,,
1201,2002-06-08,2002,LA Galaxy,Chicago Fire,1-0,1,0,West,East,1,regular,,,,,
1202,2002-06-12,2002,New England Revolution,Columbus Crew,1-2,1,2,East,East,3,regular,,,,,
1203,2002-06-15,2002,Chicago Fire,FC Dallas,1-3,1,3,East,West,4,regular,,,,,
1204,2002-06-15,2002,Colorado Rapids,New England Revolution,1-2,1,2,West,East,3,regular,,,,,
1205,2002-06-15,2002,Columbus Crew,San Jose Earthquakes,2-1,2,1,East,West,3,regular,,,,,
1206,2002-06-15,2002,Sporting Kansas City,DC United,2-0,2,0,West,East,2,regular,,,,,
1207,2002-06-15,2002,New York Red Bulls,LA Galaxy,5-0,5,0,East,West,5,regular,,,,,
1208,2002-06-19,2002,Columbus Crew,Sporting Kansas City,1-1,1,1,East,West,2,regular,,,,,
1209,2002-06-19,2002,DC United,Colorado Rapids,2-0,2,0,East,West,2,regular,,,,,
1210,2002-06-22,2002,San Jose Earthquakes,Colorado Rapids,4-0,4,0,West,West,4,regular,,,,,
1211,2002-06-22,2002,LA Galaxy,FC Dallas,3-0,3,0,West,West,3,regular,,,,,
1212,2002-06-22,2002,Sporting Kansas City,New England Revolution,3-2,3,2,West,East,5,regular,,,,,
1213,2002-06-22,2002,Chicago Fire,New York Red Bulls,0-1,0,1,East,East,1,regular,,,,,
1214,2002-06-26,2002,New York Red Bulls,Colorado Rapids,0-1,0,1,East,West,1,regular,,,,,
1215,2002-06-29,2002,FC Dallas,Columbus Crew,1-0,1,0,West,East,1,regular,,,,,
1216,2002-06-29,2002,San Jose Earthquakes,Sporting Kansas City,2-1,2,1,West,West,3,regular,,,,,
1217,2002-06-29,2002,New England Revolution,New York Red Bulls,0-2,0,2,East,East,2,regular,,,,,
1218,2002-06-29,2002,DC United,LA Galaxy,1-0,1,0,East,West,1,regular,,,,,
1219,2002-07-04,2002,Colorado Rapids,Chicago Fire,3-2,3,2,West,East,5,regular,,,,,
1220,2002-07-04,2002,FC Dallas,New York Red Bulls,2-0,2,0,West,East,2,regular,,,,,
1221,2002-07-04,2002,LA Galaxy,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,
1222,2002-07-04,2002,New England Revolution,Columbus Crew,4-1,4,1,East,East,5,regular,,,,,
1223,2002-07-04,2002,Sporting Kansas City,DC United,2-1,2,1,West,East,3,regular,,,,,
1224,2002-07-06,2002,Columbus Crew,New York Red Bulls,2-3,2,3,East,East,5,regular,,,,,
1225,2002-07-06,2002,New England Revolution,DC United,2-0,2,0,East,East,2,regular,,,,,
1226,2002-07-06,2002,Sporting Kansas City,FC Dallas,1-1,1,1,West,West,2,regular,,,,,
1227,2002-07-07,2002,San Jose Earthquakes,LA Galaxy,1-0,1,0,West,West,1,regular,,,,,
1228,2002-07-07,2002,Chicago Fire,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,
1229,2002-07-13,2002,Colorado Rapids,LA Galaxy,1-3,1,3,West,West,4,regular,,,,,
1230,2002-07-13,2002,DC United,Columbus Crew,1-3,1,3,East,East,4,regular,,,,,
1231,2002-07-13,2002,FC Dallas,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,
1232,2002-07-13,2002,New England Revolution,Sporting Kansas City,2-4,2,4,East,West,6,regular,,,,,
1233,2002-07-13,2002,New York Red Bulls,Chicago Fire,2-3,2,3,East,East,5,regular,,,,,
1234,2002-07-20,2002,Chicago Fire,DC United,0-0,0,0,East,East,0,regular,,,,,
1235,2002-07-20,2002,Columbus Crew,Colorado Rapids,1-1,1,1,East,West,2,regular,,,,,
1236,2002-07-20,2002,San Jose Earthquakes,FC Dallas,4-0,4,0,West,West,4,regular,,,,,
1237,2002-07-20,2002,LA Galaxy,Sporting Kansas City,2-2,2,2,West,West,4,regular,,,,,
1238,2002-07-20,2002,New York Red Bulls,New England Revolution,4-3,4,3,East,East,7,regular,,,,,
1239,2002-07-24,2002,Columbus Crew,DC United,1-0,1,0,East,East,1,regular,,,,,
1240,2002-07-24,2002,San Jose Earthquakes,Chicago Fire,1-0,1,0,West,East,1,regular,,,,,
1241,2002-07-24,2002,New England Revolution,Colorado Rapids,2-3,2,3,East,West,5,regular,,,,,
1242,2002-07-24,2002,Sporting Kansas City,New York Red Bulls,1-3,1,3,West,East,4,regular,,,,,
1243,2002-07-27,2002,Colorado Rapids,FC Dallas,2-2,2,2,West,West,4,regular,,,,,
1244,2002-07-27,2002,DC United,New England Revolution,0-1,0,1,East,East,1,regular,,,,,
1245,2002-07-27,2002,LA Galaxy,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
1246,2002-07-27,2002,Sporting Kansas City,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,
1247,2002-07-27,2002,Chicago Fire,New York Red Bulls,3-0,3,0,East,East,3,regular,,,,,
1248,2002-07-31,2002,Chicago Fire,DC United,0-0,0,0,East,East,0,regular,,,,,
1249,2002-07-31,2002,FC Dallas,Sporting Kansas City,0-1,0,1,West,West,1,regular,,,,,
1250,2002-07-31,2002,New York Red Bulls,Columbus Crew,2-3,2,3,East,East,5,regular,,,,,
1251,2002-08-10,2002,Colorado Rapids,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
1252,2002-08-10,2002,DC United,Sporting Kansas City,0-0,0,0,East,West,0,regular,,,,,
1253,2002-08-10,2002,LA Galaxy,New England Revolution,2-1,2,1,West,East,3,regular,,,,,
1254,2002-08-10,2002,FC Dallas,Chicago Fire,3-1,3,1,West,East,4,regular,,,,,
1255,2002-08-14,2002,Chicago Fire,Sporting Kansas City,5-1,5,1,East,West,6,regular,,,,,
1256,2002-08-14,2002,Columbus Crew,LA Galaxy,3-2,3,2,East,West,5,regular,,,,,
1257,2002-08-17,2002,LA Galaxy,Colorado Rapids,4-0,4,0,West,West,4,regular,,,,,
1258,2002-08-17,2002,New York Red Bulls,FC Dallas,1-3,1,3,East,West,4,regular,,,,,
1259,2002-08-17,2002,San Jose Earthquakes,DC United,2-2,2,2,West,East,4,regular,,,,,
1260,2002-08-18,2002,New England Revolution,Chicago Fire,0-2,0,2,East,East,2,regular,,,,,
1261,2002-08-18,2002,Sporting Kansas City,Columbus Crew,0-4,0,4,West,East,4,regular,,,,,
1262,2002-08-21,2002,San Jose Earthquakes,FC Dallas,3-1,3,1,West,West,4,regular,,,,,
1263,2002-08-21,2002,LA Galaxy,Sporting Kansas City,2-1,2,1,West,West,3,regular,,,,,
1264,2002-08-24,2002,Chicago Fire,New England Revolution,1-2,1,2,East,East,3,regular,,,,,
1265,2002-08-24,2002,FC Dallas,LA Galaxy,1-0,1,0,West,West,1,regular,,,,,
1266,2002-08-24,2002,Colorado Rapids,San Jose Earthquakes,3-0,3,0,West,West,3,regular,,,,,
1267,2002-08-25,2002,New York Red Bulls,DC United,1-0,1,0,East,East,1,regular,,,,,
1268,2002-08-28,2002,New England Revolution,Colorado Rapids,3-1,3,1,East,West,4,regular,,,,,
1269,2002-08-31,2002,Columbus Crew,New England Revolution,0-0,0,0,East,East,0,regular,,,,,
1270,2002-08-31,2002,DC United,San Jose Earthquakes,4-2,4,2,East,West,6,regular,,,,,
1271,2002-08-31,2002,LA Galaxy,New York Red Bulls,3-0,3,0,West,East,3,regular,,,,,
1272,2002-08-31,2002,Sporting Kansas City,Chicago Fire,2-1,2,1,West,East,3,regular,,,,,
1273,2002-09-01,2002,Colorado Rapids,FC Dallas,3-2,3,2,West,West,5,regular,,,,,
1274,2002-09-05,2002,FC Dallas,New York Red Bulls,1-3,1,3,West,East,4,regular,,,,,
1275,2002-09-07,2002,Chicago Fire,LA Galaxy,1-2,1,2,East,West,3,regular,,,,,
1276,2002-09-07,2002,San Jose Earthquakes,Columbus Crew,4-3,4,3,West,East,7,regular,,,,,
1277,2002-09-07,2002,New England Revolution,DC United,3-0,3,0,East,East,3,regular,,,,,
1278,2002-09-12,2002,New York Red Bulls,DC United,0-1,0,1,East,East,1,regular,,,,,
1279,2002-09-14,2002,Columbus Crew,Chicago Fire,2-0,2,0,East,East,2,regular,,,,,
1280,2002-09-14,2002,DC United,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,
1281,2002-09-14,2002,FC Dallas,New England Revolution,1-2,1,2,West,East,3,regular,,,,,
1282,2002-09-14,2002,LA Galaxy,San Jose Earthquakes,1-0,1,0,West,West,1,regular,,,,,
1283,2002-09-14,2002,Sporting Kansas City,Colorado Rapids,1-2,1,2,West,West,3,regular,,,,,
1284,2002-09-19,2002,DC United,FC Dallas,3-4,3,4,East,West,7,regular,,,,,
1285,2002-09-20,2002,Colorado Rapids,Sporting Kansas City,1-1,1,1,West,West,2,regular,,,,,
1286,2002-09-21,2002,San Jose Earthquakes,LA Galaxy,0-1,0,1,West,West,1,regular,,,,,
1287,2002-09-21,2002,New England Revolution,New York Red Bulls,3-0,3,0,East,East,3,regular,,,,,
1288,2002-09-22,2002,Chicago Fire,Columbus Crew,2-1,2,1,East,East,3,regular,,,,,
1289,2002-09-25,2002,FC Dallas,Colorado Rapids,4-2,4,2,West,West,6,conf_semi,1.0,,,,
1290,2002-09-25,2002,San Jose Earthquakes,Columbus Crew,1-2,1,2,West,East,3,conf_semi,1.0,,,,
1291,2002-09-25,2002,LA Galaxy,Sporting Kansas City,2-2,2,2,West,West,4,conf_semi,1.0,3.0,2.0,,
1292,2002-09-26,2002,New England Revolution,Chicago Fire,2-0,2,0,East,East,2,conf_semi,1.0,,,,
1293,2002-09-28,2002,Colorado Rapids,FC Dallas,1-0,1,0,West,West,1,conf_semi,2.0,,,,
1294,2002-09-28,2002,Columbus Crew,San Jose Earthquakes,2-1,2,1,East,West,3,conf_semi,2.0,,,,
1295,2002-09-28,2002,Sporting Kansas City,LA Galaxy,4-1,4,1,West,West,5,conf_semi,2.0,,,,
1296,2002-09-29,2002,Chicago Fire,New England Revolution,2-1,2,1,East,East,3,conf_semi,2.0,,,,
1297,2002-10-02,2002,FC Dallas,Colorado Rapids,1-1,1,1,West,West,2,conf_semi,3.0,1.0,2.0,,
1298,2002-10-02,2002,LA Galaxy,Sporting Kansas City,5-2,5,2,West,West,7,conf_semi,3.0,,,,
1299,2002-10-02,2002,New England Revolution,Chicago Fire,2-0,2,0,East,East,2,conf_semi,3.0,,,,
1300,2002-10-05,2002,LA Galaxy,Colorado Rapids,4-0,4,0,West,West,4,conf_final,1.0,,,,
1301,2002-10-06,2002,New England Revolution,Columbus Crew,0-0,0,0,East,East,0,conf_final,1.0,,,,
1302,2002-10-09,2002,Colorado Rapids,LA Galaxy,0-1,0,1,West,West,1,conf_final,2.0,,,,
1303,2002-10-09,2002,Columbus Crew,New England Revolution,0-1,0,1,East,East,1,conf_final,2.0,,,,
1304,2002-10-12,2002,New England Revolution,Columbus Crew,2-2,2,2,East,East,4,conf_final,3.0,,,,
1305,2002-10-20,2002,New England Revolution,LA Galaxy,0-0,0,0,East,West,0,mls_final,,0.0,1.0,,
1306,2003-04-05,2003,Columbus Crew,LA Galaxy,1-1,1,1,East,West,2,regular,,,,,
1307,2003-04-12,2003,Colorado Rapids,San Jose Earthquakes,1-2,1,2,West,West,3,regular,,,,,
1308,2003-04-12,2003,New York Red Bulls,Columbus Crew,0-1,0,1,East,East,1,regular,,,,,
1309,2003-04-12,2003,Sporting Kansas City,DC United,3-2,3,2,West,East,5,regular,,,,,
1310,2003-04-12,2003,FC Dallas,LA Galaxy,1-1,1,1,West,West,2,regular,,,,,
1311,2003-04-13,2003,Chicago Fire,New England Revolution,1-1,1,1,East,East,2,regular,,,,,
1312,2003-04-19,2003,DC United,Chicago Fire,0-0,0,0,East,East,0,regular,,,,,
1313,2003-04-19,2003,San Jose Earthquakes,Sporting Kansas City,1-1,1,1,West,West,2,regular,,,,,
1314,2003-04-19,2003,New York Red Bulls,LA Galaxy,1-1,1,1,East,West,2,regular,,,,,
1315,2003-04-19,2003,New England Revolution,Columbus Crew,1-2,1,2,East,East,3,regular,,,,,
1316,2003-04-26,2003,Colorado Rapids,DC United,1-1,1,1,West,East,2,regular,,,,,
1317,2003-04-26,2003,FC Dallas,New England Revolution,1-2,1,2,West,East,3,regular,,,,,
1318,2003-04-26,2003,San Jose Earthquakes,LA Galaxy,1-0,1,0,West,West,1,regular,,,,,
1319,2003-04-26,2003,Sporting Kansas City,Chicago Fire,2-3,2,3,West,East,5,regular,,,,,
1320,2003-04-26,2003,Columbus Crew,New York Red Bulls,0-1,0,1,East,East,1,regular,,,,,
1321,2003-05-03,2003,DC United,FC Dallas,0-0,0,0,East,West,0,regular,,,,,
1322,2003-05-03,2003,New York Red Bulls,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,
1323,2003-05-03,2003,Sporting Kansas City,Columbus Crew,2-2,2,2,West,East,4,regular,,,,,
1324,2003-05-03,2003,New England Revolution,San Jose Earthquakes,0-2,0,2,East,West,2,regular,,,,,
1325,2003-05-10,2003,Chicago Fire,San Jose Earthquakes,0-0,0,0,East,West,0,regular,,,,,
1326,2003-05-10,2003,Columbus Crew,Colorado Rapids,2-0,2,0,East,West,2,regular,,,,,
1327,2003-05-10,2003,FC Dallas,Sporting Kansas City,1-3,1,3,West,West,4,regular,,,,,
1328,2003-05-10,2003,New York Red Bulls,DC United,1-0,1,0,East,East,1,regular,,,,,
1329,2003-05-10,2003,New England Revolution,LA Galaxy,2-0,2,0,East,West,2,regular,,,,,
1330,2003-05-14,2003,Sporting Kansas City,New England Revolution,1-1,1,1,West,East,2,regular,,,,,
1331,2003-05-17,2003,DC United,Sporting Kansas City,1-1,1,1,East,West,2,regular,,,,,
1332,2003-05-17,2003,FC Dallas,LA Galaxy,1-1,1,1,West,West,2,regular,,,,,
1333,2003-05-17,2003,San Jose Earthquakes,Columbus Crew,4-3,4,3,West,East,7,regular,,,,,
1334,2003-05-17,2003,New England Revolution,Chicago Fire,3-0,3,0,East,East,3,regular,,,,,
1335,2003-05-17,2003,Colorado Rapids,New York Red Bulls,0-2,0,2,West,East,2,regular,,,,,
1336,2003-05-24,2003,Columbus Crew,New England Revolution,2-3,2,3,East,East,5,regular,,,,,
1337,2003-05-24,2003,New York Red Bulls,FC Dallas,2-1,2,1,East,West,3,regular,,,,,
1338,2003-05-24,2003,Sporting Kansas City,LA Galaxy,2-1,2,1,West,West,3,regular,,,,,
1339,2003-05-25,2003,Chicago Fire,Colorado Rapids,4-0,4,0,East,West,4,regular,,,,,
1340,2003-05-31,2003,Colorado Rapids,LA Galaxy,1-0,1,0,West,West,1,regular,,,,,
1341,2003-05-31,2003,Columbus Crew,New York Red Bulls,1-1,1,1,East,East,2,regular,,,,,
1342,2003-05-31,2003,FC Dallas,DC United,3-2,3,2,West,East,5,regular,,,,,
1343,2003-05-31,2003,New England Revolution,Sporting Kansas City,2-2,2,2,East,West,4,regular,,,,,
1344,2003-05-31,2003,San Jose Earthquakes,Chicago Fire,1-4,1,4,West,East,5,regular,,,,,
1345,2003-06-07,2003,Columbus Crew,San Jose Earthquakes,1-0,1,0,East,West,1,regular,,,,,
1346,2003-06-07,2003,DC United,Chicago Fire,2-0,2,0,East,East,2,regular,,,,,
1347,2003-06-07,2003,Sporting Kansas City,New York Red Bulls,2-1,2,1,West,East,3,regular,,,,,
1348,2003-06-07,2003,LA Galaxy,Colorado Rapids,2-0,2,0,West,West,2,regular,,,,,
1349,2003-06-11,2003,Colorado Rapids,DC United,0-0,0,0,West,East,0,regular,,,,,
1350,2003-06-14,2003,Colorado Rapids,New England Revolution,4-1,4,1,West,East,5,regular,,,,,
1351,2003-06-14,2003,DC United,Columbus Crew,3-0,3,0,East,East,3,regular,,,,,
1352,2003-06-14,2003,FC Dallas,San Jose Earthquakes,1-2,1,2,West,West,3,regular,,,,,
1353,2003-06-14,2003,LA Galaxy,Sporting Kansas City,2-1,2,1,West,West,3,regular,,,,,
1354,2003-06-14,2003,New York Red Bulls,Chicago Fire,2-3,2,3,East,East,5,regular,,,,,
1355,2003-06-18,2003,Chicago Fire,FC Dallas,4-1,4,1,East,West,5,regular,,,,,
1356,2003-06-18,2003,LA Galaxy,San Jose Earthquakes,1-1,1,1,West,West,2,regular,,,,,
1357,2003-06-21,2003,DC United,New England Revolution,1-1,1,1,East,East,2,regular,,,,,
1358,2003-06-21,2003,FC Dallas,Colorado Rapids,3-1,3,1,West,West,4,regular,,,,,
1359,2003-06-21,2003,San Jose Earthquakes,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
1360,2003-06-21,2003,Sporting Kansas City,Chicago Fire,4-2,4,2,West,East,6,regular,,,,,
1361,2003-06-21,2003,New York Red Bulls,LA Galaxy,1-0,1,0,East,West,1,regular,,,,,
1362,2003-06-25,2003,Colorado Rapids,LA Galaxy,2-2,2,2,West,West,4,regular,,,,,
1363,2003-06-28,2003,Columbus Crew,DC United,3-0,3,0,East,East,3,regular,,,,,
1364,2003-06-28,2003,San Jose Earthquakes,Sporting Kansas City,0-0,0,0,West,West,0,regular,,,,,
1365,2003-06-28,2003,LA Galaxy,FC Dallas,3-0,3,0,West,West,3,regular,,,,,
1366,2003-06-28,2003,New England Revolution,Colorado Rapids,3-2,3,2,East,West,5,regular,,,,,
1367,2003-06-28,2003,Chicago Fire,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,
1368,2003-07-02,2003,FC Dallas,DC United,1-3,1,3,West,East,4,regular,,,,,
1369,2003-07-02,2003,New York Red Bulls,San Jose Earthquakes,4-4,4,4,East,West,8,regular,,,,,
1370,2003-07-04,2003,Colorado Rapids,Sporting Kansas City,3-2,3,2,West,West,5,regular,,,,,
1371,2003-07-04,2003,LA Galaxy,New England Revolution,2-2,2,2,West,East,4,regular,,,,,
1372,2003-07-05,2003,Columbus Crew,FC Dallas,0-0,0,0,East,West,0,regular,,,,,
1373,2003-07-05,2003,San Jose Earthquakes,Chicago Fire,0-0,0,0,West,East,0,regular,,,,,
1374,2003-07-05,2003,DC United,New York Red Bulls,2-3,2,3,East,East,5,regular,,,,,
1375,2003-07-09,2003,LA Galaxy,Colorado Rapids,0-1,0,1,West,West,1,regular,,,,,
1376,2003-07-12,2003,Chicago Fire,DC United,1-2,1,2,East,East,3,regular,,,,,
1377,2003-07-12,2003,San Jose Earthquakes,Colorado Rapids,0-2,0,2,West,West,2,regular,,,,,
1378,2003-07-12,2003,Sporting Kansas City,FC Dallas,5-1,5,1,West,West,6,regular,,,,,
1379,2003-07-12,2003,New England Revolution,New York Red Bulls,3-3,3,3,East,East,6,regular,,,,,
1380,2003-07-16,2003,New England Revolution,FC Dallas,1-2,1,2,East,West,3,regular,,,,,
1381,2003-07-19,2003,Chicago Fire,New England Revolution,3-1,3,1,East,East,4,regular,,,,,
1382,2003-07-19,2003,Columbus Crew,Sporting Kansas City,0-1,0,1,East,West,1,regular,,,,,
1383,2003-07-19,2003,FC Dallas,New York Red Bulls,1-2,1,2,West,East,3,regular,,,,,
1384,2003-07-19,2003,DC United,San Jose Earthquakes,1-2,1,2,East,West,3,regular,,,,,
1385,2003-07-23,2003,Columbus Crew,New England Revolution,1-1,1,1,East,East,2,regular,,,,,
1386,2003-07-26,2003,Chicago Fire,Sporting Kansas City,2-0,2,0,East,West,2,regular,,,,,
1387,2003-07-26,2003,Colorado Rapids,New York Red Bulls,1-0,1,0,West,East,1,regular,,,,,
1388,2003-07-26,2003,San Jose Earthquakes,FC Dallas,3-0,3,0,West,West,3,regular,,,,,
1389,2003-07-27,2003,New England Revolution,DC United,2-4,2,4,East,East,6,regular,,,,,
1390,2003-07-30,2003,LA Galaxy,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
1391,2003-08-08,2003,Sporting Kansas City,San Jose Earthquakes,0-1,0,1,West,West,1,regular,,,,,
1392,2003-08-09,2003,Colorado Rapids,FC Dallas,2-0,2,0,West,West,2,regular,,,,,
1393,2003-08-09,2003,DC United,New England Revolution,1-0,1,0,East,East,1,regular,,,,,
1394,2003-08-09,2003,LA Galaxy,Columbus Crew,3-1,3,1,West,East,4,regular,,,,,
1395,2003-08-09,2003,Chicago Fire,New York Red Bulls,1-1,1,1,East,East,2,regular,,,,,
1396,2003-08-13,2003,Columbus Crew,Chicago Fire,2-2,2,2,East,East,4,regular,,,,,
1397,2003-08-13,2003,DC United,Colorado Rapids,1-0,1,0,East,West,1,regular,,,,,
1398,2003-08-13,2003,FC Dallas,San Jose Earthquakes,0-3,0,3,West,West,3,regular,,,,,
1399,2003-08-13,2003,New York Red Bulls,Sporting Kansas City,0-0,0,0,East,West,0,regular,,,,,
1400,2003-08-16,2003,Chicago Fire,DC United,3-1,3,1,East,East,4,regular,,,,,
1401,2003-08-16,2003,Colorado Rapids,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
1402,2003-08-16,2003,FC Dallas,Sporting Kansas City,3-2,3,2,West,West,5,regular,,,,,
1403,2003-08-16,2003,LA Galaxy,New York Red Bulls,1-1,1,1,West,East,2,regular,,,,,
1404,2003-08-16,2003,New England Revolution,San Jose Earthquakes,1-1,1,1,East,West,2,regular,,,,,
1405,2003-08-20,2003,Chicago Fire,LA Galaxy,1-0,1,0,East,West,1,regular,,,,,
1406,2003-08-22,2003,Sporting Kansas City,Colorado Rapids,2-2,2,2,West,West,4,regular,,,,,
1407,2003-08-23,2003,FC Dallas,Columbus Crew,1-2,1,2,West,East,3,regular,,,,,
1408,2003-08-23,2003,LA Galaxy,New England Revolution,2-1,2,1,West,East,3,regular,,,,,
1409,2003-08-24,2003,San Jose Earthquakes,DC United,1-0,1,0,West,East,1,regular,,,,,
1410,2003-08-24,2003,New York Red Bulls,Chicago Fire,1-2,1,2,East,East,3,regular,,,,,
1411,2003-08-30,2003,San Jose Earthquakes,Colorado Rapids,1-2,1,2,West,West,3,regular,,,,,
1412,2003-08-30,2003,LA Galaxy,FC Dallas,2-1,2,1,West,West,3,regular,,,,,
1413,2003-08-30,2003,New England Revolution,Chicago Fire,5-1,5,1,East,East,6,regular,,,,,
1414,2003-08-31,2003,Columbus Crew,Sporting Kansas City,1-0,1,0,East,West,1,regular,,,,,
1415,2003-09-06,2003,Chicago Fire,Columbus Crew,1-1,1,1,East,East,2,regular,,,,,
1416,2003-09-06,2003,Colorado Rapids,FC Dallas,2-1,2,1,West,West,3,regular,,,,,
1417,2003-09-06,2003,DC United,LA Galaxy,2-1,2,1,East,West,3,regular,,,,,
1418,2003-09-06,2003,Sporting Kansas City,New York Red Bulls,1-2,1,2,West,East,3,regular,,,,,
1419,2003-09-07,2003,San Jose Earthquakes,New England Revolution,2-1,2,1,West,East,3,regular,,,,,
1420,2003-09-13,2003,Colorado Rapids,Sporting Kansas City,1-0,1,0,West,West,1,regular,,,,,
1421,2003-09-13,2003,Columbus Crew,FC Dallas,3-2,3,2,East,West,5,regular,,,,,
1422,2003-09-13,2003,DC United,San Jose Earthquakes,2-1,2,1,East,West,3,regular,,,,,
1423,2003-09-13,2003,LA Galaxy,Chicago Fire,0-2,0,2,West,East,2,regular,,,,,
1424,2003-09-13,2003,New York Red Bulls,New England Revolution,1-2,1,2,East,East,3,regular,,,,,
1425,2003-09-18,2003,New England Revolution,Colorado Rapids,0-0,0,0,East,West,0,regular,,,,,
1426,2003-09-20,2003,FC Dallas,Chicago Fire,2-0,2,0,West,East,2,regular,,,,,
1427,2003-09-20,2003,LA Galaxy,DC United,1-0,1,0,West,East,1,regular,,,,,
1428,2003-09-20,2003,New York Red Bulls,Columbus Crew,1-0,1,0,East,East,1,regular,,,,,
1429,2003-09-20,2003,Sporting Kansas City,San Jose Earthquakes,1-4,1,4,West,West,5,regular,,,,,
1430,2003-09-25,2003,New York Red Bulls,DC United,0-2,0,2,East,East,2,regular,,,,,
1431,2003-09-27,2003,San Jose Earthquakes,FC Dallas,5-2,5,2,West,West,7,regular,,,,,
1432,2003-09-27,2003,LA Galaxy,Sporting Kansas City,1-2,1,2,West,West,3,regular,,,,,
1433,2003-09-28,2003,New England Revolution,Columbus Crew,3-2,3,2,East,East,5,regular,,,,,
1434,2003-09-28,2003,DC United,New York Red Bulls,1-1,1,1,East,East,2,regular,,,,,
1435,2003-10-01,2003,Colorado Rapids,Chicago Fire,1-1,1,1,West,East,2,regular,,,,,
1436,2003-10-04,2003,Chicago Fire,LA Galaxy,2-0,2,0,East,West,2,regular,,,,,
1437,2003-10-04,2003,Columbus Crew,DC United,1-1,1,1,East,East,2,regular,,,,,
1438,2003-10-04,2003,FC Dallas,New England Revolution,1-4,1,4,West,East,5,regular,,,,,
1439,2003-10-04,2003,Sporting Kansas City,Colorado Rapids,4-2,4,2,West,West,6,regular,,,,,
1440,2003-10-05,2003,San Jose Earthquakes,New York Red Bulls,0-2,0,2,West,East,2,regular,,,,,
1441,2003-10-10,2003,Chicago Fire,Columbus Crew,2-0,2,0,East,East,2,regular,,,,,
1442,2003-10-10,2003,Colorado Rapids,San Jose Earthquakes,0-0,0,0,West,West,0,regular,,,,,
1443,2003-10-11,2003,New York Red Bulls,FC Dallas,0-0,0,0,East,West,0,regular,,,,,
1444,2003-10-11,2003,Sporting Kansas City,LA Galaxy,2-1,2,1,West,West,3,regular,,,,,
1445,2003-10-11,2003,New England Revolution,DC United,1-0,1,0,East,East,1,regular,,,,,
1446,2003-10-18,2003,Chicago Fire,Colorado Rapids,4-3,4,3,East,West,7,regular,,,,,
1447,2003-10-18,2003,LA Galaxy,San Jose Earthquakes,3-0,3,0,West,West,3,regular,,,,,
1448,2003-10-18,2003,New York Red Bulls,New England Revolution,1-2,1,2,East,East,3,regular,,,,,
1449,2003-10-18,2003,Sporting Kansas City,FC Dallas,1-0,1,0,West,West,1,regular,,,,,
1450,2003-10-19,2003,DC United,Columbus Crew,2-3,2,3,East,East,5,regular,,,,,
1451,2003-10-25,2003,DC United,Sporting Kansas City,1-1,1,1,East,West,2,regular,,,,,
1452,2003-10-25,2003,FC Dallas,Colorado Rapids,4-3,4,3,West,West,7,regular,,,,,
1453,2003-10-25,2003,San Jose Earthquakes,LA Galaxy,1-1,1,1,West,West,2,regular,,,,,
1454,2003-10-25,2003,New England Revolution,New York Red Bulls,5-2,5,2,East,East,7,regular,,,,,
1455,2003-10-26,2003,Columbus Crew,Chicago Fire,6-2,6,2,East,East,8,regular,,,,,
1456,2003-11-01,2003,DC United,Chicago Fire,0-2,0,2,East,East,2,conf_semi,1.0,,,,
1457,2003-11-01,2003,LA Galaxy,San Jose Earthquakes,2-0,2,0,West,West,2,conf_semi,1.0,,,,
1458,2003-11-01,2003,New York Red Bulls,New England Revolution,0-2,0,2,East,East,2,conf_semi,1.0,,,,
